Details,State,Found In CSV
Nike Soccer Camp with Rhode Island Surf in Cranston - Elite,rhode-island,No
Nike Soccer Camp with Next Step Training - Cumberland,rhode-island,No
Nike Soccer Camp with Next Step Training - St. George's School in Newport,rhode-island,Yes
Nike Soccer Camp with Next Step Training - Woonsocket,rhode-island,Yes
Nike Soccer Camp in Fort Mill,south-carolina,Yes
Nike Soccer Camp North Greenville University,south-carolina,Yes
Nike Soccer Camp in Wellford,south-carolina,Yes
Nike Soccer Camp in Sioux Falls,south-dakota,Yes
Nike Soccer Camp with Prospect Soccer Academy - Memphis,tennessee,Yes
Nike Soccer Camp with Beestera Soccer Training - Mt. Juliet,tennessee,Yes
Nike Soccer Camp at Christ Presbyterian Academy,tennessee,Yes
Nike Soccer Camp with Beestera Soccer Training - Thompson's Station,tennessee,Yes
Nike Soccer Camp at Upper 90 - Forth Worth/Arlington,texas,Yes
Nike Soccer Camp in Westlake - Austin,texas,Yes
Nike Soccer Camp at Soccer Spectrum - Dallas,texas,No
Nike Soccer Camp at Texas Woman's University,texas,Yes
Nike Soccer Camp at Houston Christian University,texas,Yes
Nike Soccer Camp in Keller,texas,Yes
Nike Soccer Camps at Soccer Zone Live Oak,texas,Yes
Nike Soccer Camp with UK Soccer School at HEB Soccer Complex,texas,Yes
Nike Soccer Camp in The Woodlands,texas,Yes
Nike Soccer Camp in Austin - Round Rock Multipurpose Complex,texas,Yes
Nike Soccer Camp at St. Mary's University,texas,Yes
Nike Soccer Camp at Crossbar Academy - Tomball,texas,Yes
Nike Soccer Camp with Chelsea FC Foundation - Surrey Sports Park | Boys Performance | Ages 15-17,united-kingdom,Yes
Liverpool FC Residential UK Football Camps – Girls at Repton School | Ages 12-17,united-kingdom,Yes
Nike Soccer Camp with Chelsea FC Foundation - Charterhouse | Girls | Ages 12-17,united-kingdom,Yes
Liverpool FC Residential UK Football Camps - Boys Performance At Radley College | Ages 14-17,united-kingdom,Yes
Nike Soccer Camp with Chelsea FC Foundation - Bradfield College |  Boys | Ages 10-12,united-kingdom,Yes
Nike Soccer Camp in Farmington,utah,Yes
Nike Soccer Camp in Park City,utah,Yes
Nike Soccer Camp at Westminster University,utah,Yes
Nike Soccer Camp with JM Soccer Academy - St. George,utah,Yes
Nike Soccer Camp with Beestera Soccer Training - Bristol,vermont,Yes
Nike Soccer Camp with Beestera Soccer Training - Essex,vermont,Yes
Nike Soccer Camp with Beestera Soccer Training - Stowe,vermont,Yes
Nike Soccer Camp at Episcopal High School,virginia,Yes
Nike Boys Collegiate Soccer Experience at Virginia Tech,virginia,Yes
Nike Soccer Camp at Fredericksburg Field House,virginia,Yes
Nike Girls Soccer Camp at Eastern Mennonite University,virginia,No
Nike Boys College ID Soccer Camp - Leesburg,virginia,Yes
Nike Soccer Camp in Manassas,virginia,Yes
Nike Soccer Camp at Sports Reality,virginia,Yes
Nike Soccer Camp at Virginia Beach Field House,virginia,Yes
Nike Soccer Camp in Warrenton,virginia,Yes
Nike Soccer Camp in Bellevue,washingtonstate,No
Nike Soccer Camp with Tacoma Stars - Burien,washingtonstate,Yes
Nike Soccer Camp with Tacoma Stars - Covington,washingtonstate,Yes
Nike Soccer Camp with Tacoma Stars - Enumclaw,washingtonstate,Yes
Nike Soccer Camp with Tacoma Stars - Federal Way,washingtonstate,Yes
Nike Soccer Camp with Tacoma Stars - Gig Harbor,washingtonstate,Yes
Nike Soccer Camp in Issaquah (with Seattle University),washingtonstate,Yes
Nike Soccer Camp with the Tacoma Stars - Summit Park,washingtonstate,Yes
Nike Soccer Camp with Tacoma Stars - Puyallup,washingtonstate,No
Nike Soccer Camp with Tacoma Stars - Marymoor Park,washingtonstate,Yes
Nike Soccer Camp with Tacoma Stars - Fairwood,washingtonstate,Yes
Nike Soccer Camp at Seattle University,washingtonstate,Yes
College Soccer Academy iD Camp in Seattle - Girls,washingtonstate,Yes
Nike Soccer Camp at Snohomish Sports Dome,washingtonstate,No
Nike Soccer Camp in Spokane,washingtonstate,Yes
Nike Soccer Camp with Tacoma Stars - Sumner,washingtonstate,Yes
Nike Soccer Camp with Tacoma Stars - Fawcett Elementary School,washingtonstate,Yes
Nike Soccer Camp with Tacoma Stars - Tukwila,washingtonstate,Yes
Nike Soccer Camp with the Tacoma Stars - Pioneer Park,washingtonstate,Yes
Nike Soccer Camp in Vancouver,washingtonstate,No
Nike Soccer Camp at University of Charleston,west-virginia,Yes
Nike Soccer Camp at Lawrence University,wisconsin,Yes
Nike Soccer Camp at Beloit College,wisconsin,Yes
Nike Soccer Camp at Saint Johns Northwestern Academy,wisconsin,Yes
Nike Soccer Camp in Whitefish Bay,wisconsin,Yes
Nike Soccer Camp at University of Wisconsin - Parkside,wisconsin,Yes
Nike Soccer Camp in Lake Geneva,wisconsin,Yes
Nike Soccer Camp at Brookfield Sports Complex,wisconsin,Yes
Nike Soccer Camp at Marquette University,wisconsin,No
Nike Soccer Camp at Carroll University,wisconsin,Yes
