State,City,Camp Name (JSON),Event Details (CSV),Matched
ohio,Geneva,SPIRE Soccer Camp - Summer Extended Training,SPIRE Soccer Camp - Summer Extended Training,True
oklahoma,Norman,Nike Soccer Camp in Norman Oklahoma,Nike Soccer Camp in Norman Oklahoma,True
oklahoma,Oklahoma City,Nike Soccer Camp in Oklahoma City,Nike Soccer Camp in Oklahoma City,True
oklahoma,Stillwater,Nike Soccer Camp at Oklahoma State University,Nike Soccer Camp at Oklahoma State University,True
oregon,Corvallis,Nike Soccer Camp at Oregon State University,Nike Soccer Camp at Oregon State University,True
oregon,Hillsboro,Nike Soccer Camp in Hillsboro,Nike Soccer Camp in Hillsboro,True
oregon,Lake Oswego,Nike Soccer Camp in Lake Oswego,Nike Soccer Camp in Lake Oswego,True
oregon,Newberg,Nike Soccer Camp at George Fox University,Nike Soccer Camp at George Fox University,True
oregon,Portland,Nike Soccer Camp at Portland State University,Nike Soccer Camp at Portland State University,True
oregon,Salem,Nike Soccer Camp in Salem,Nike Soccer Camp in Salem,True
pennsylvania,Bethlehem,Nike Soccer Camp in Bethlehem,Nike Soccer Camp in Bethlehem,True
pennsylvania,Blue Bell,Nike Soccer Camp at Centre Square Park,Nike Soccer Camp at Centre Square Park,True
pennsylvania,Center Valley,Nike Soccer Camp at DeSales University,Nike Soccer Camp at DeSales University,True
pennsylvania,Chester Springs,Nike Soccer Camp in Chester Springs,Nike Soccer Camp in Chester Springs,True
pennsylvania,Elkins Park,Nike Soccer Camp at Sofive Elkins Park,Nike Soccer Camp at Sofive Elkins Park,True
pennsylvania,Erie,Nike Soccer Camp at Erie Sports Center,Nike Soccer Camp at Erie Sports Center,True
pennsylvania,Gettysburg,Nike Soccer Camp at Gettysburg College,Nike Soccer Camp at Gettysburg College,True
pennsylvania,Malvern,Nike Soccer Camp with Beestera Soccer Training - Greater Chester Valley,Nike Soccer Camp with Beestera Soccer Training - Greater Chester Valley,True
pennsylvania,Manheim,Nike Soccer Camp with Futeballer - PA Classics Soccer Park,Nike Soccer Camp with Futeballer - PA Classics Soccer Park,True
pennsylvania,Palmyra,Nike Soccer Camp with Futeballer at In The Net,Nike Soccer Camp with Futeballer at In The Net,True
pennsylvania,Phoenixville,Nike Soccer Camp in Phoenixville,Nike Soccer Camp in Phoenixville,True
